Lat;Lon;LOS_ASC
-8.28708;112.30625;2.8965
-8.28375;112.30542;3.4061
-8.28375;112.30542;3.5154
-8.27792;112.30208;2.4515
-8.27792;112.30208;2.1399
-8.27708;112.30208;2.2246
-8.23958;112.29458;1.6832
-8.23208;112.29292;1.3967
-8.23125;112.29292;0.8918
-8.23125;112.29292;1.2534
-8.19708;112.28542;1.7055
-8.19458;112.28458;1.7669
-8.19375;112.28458;1.7717
-8.15208;112.27458;1.9011
-8.15208;112.27375;1.7573
-8.14458;112.27292;1.4511
-8.14458;112.27292;2.1899
-8.13125;112.26958;2.2529
-8.12875;112.26958;2.1645
-8.12792;112.26958;1.8978
-8.12792;112.26875;1.7644
-8.12542;112.26875;1.3034
-8.28792;112.30708;3.1857
-8.28792;112.30708;3.4159
-8.28375;112.30625;2.6349
-8.25625;112.29958;2.5727
-8.25458;112.29958;2.1418
-8.23125;112.29375;1.3138
-8.23125;112.29375;1.1828
-8.15292;112.27542;1.8229
-8.15208;112.27458;1.4745
-8.14708;112.27375;1.2126
-8.14542;112.27375;1.2496
-8.14208;112.27292;1.1802
-8.12958;112.27042;1.6551
-8.12708;112.26958;2.0209
-8.12625;112.26958;1.8178
-8.28708;112.30792;3.6258
-8.27125;112.30292;2.5242
-8.25625;112.30042;2.5495
-8.25375;112.29958;2.2463
-8.25292;112.29958;2.3783
-8.25208;112.29958;2.2425
-8.23125;112.29458;1.2609
-8.23042;112.29458;1.1777
-8.15375;112.27625;1.499
-8.15292;112.27625;1.805
-8.14708;112.27458;0.5615
-8.14625;112.27458;1.6583
-8.14625;112.27458;1.5966
-8.14375;112.27458;1.1688
-8.13042;112.27125;2.0198
-8.12958;112.27125;2.0924
-8.25625;112.30125;2.1056
-8.25208;112.30042;2.3626
-8.25042;112.30042;1.4899
-8.19958;112.28875;1.3996
-8.19875;112.28875;1.727
-8.19792;112.28875;1.3921
-8.15542;112.27792;1.4088
-8.14292;112.27458;1.4709
-8.14292;112.27458;1.0083
-8.13208;112.27292;2.0116
-8.13125;112.27208;1.8604
-8.13042;112.27208;2.1668
-8.13042;112.27208;1.8821
-8.12958;112.27208;2.0346
-8.28458;112.30875;3.3517
-8.25708;112.30208;2.7765
-8.24958;112.30042;2.659
-8.24875;112.30042;2.6661
-8.24792;112.30042;1.5593
-8.24792;112.30042;2.2988
-8.23125;112.29625;1.6321
-8.22125;112.29458;1.4692
-8.22042;112.29375;1.2757
-8.20125;112.28958;1.2086
-8.20042;112.28958;1.7781
-8.19958;112.28958;2.2354
-8.19958;112.28958;1.7018
-8.19875;112.28958;1.6198
-8.19792;112.28958;1.9431
-8.19708;112.28875;2.2404
-8.19708;112.28875;1.7024
-8.15958;112.27958;1.2656
-8.15875;112.27875;1.2243
-8.15792;112.27875;1.3543
-8.15708;112.27875;0.6209
-8.15708;112.27875;1.1319
-8.15625;112.27875;1.0112
-8.14625;112.27625;0.7678
-8.14458;112.27625;1.4515
-8.14458;112.27625;1.1016
-8.14375;112.27542;1.2889
-8.13125;112.27292;1.9953
-8.13042;112.27292;2.1124
-8.12958;112.27292;1.7975
-8.12958;112.27292;2.1979
-8.12875;112.27292;2.4427
-8.28542;112.30958;2.7531
-8.27292;112.30542;2.639
-8.26958;112.30625;3.1366
-8.23042;112.29708;1.1475
-8.23042;112.29708;1.3649
-8.22125;112.29542;1.5114
-8.21208;112.29292;1.153
-8.21125;112.29292;1.3898
-8.21042;112.29292;1.3636
-8.20208;112.29125;1.7791
-8.20125;112.29042;1.5871
-8.20042;112.29042;1.9283
-8.19958;112.29042;1.9678
-8.19875;112.29042;1.7137
-8.19875;112.29042;1.9968
-8.19792;112.29042;2.1616
-8.19708;112.28958;1.6959
-8.16125;112.28042;1.2346
-8.16042;112.28042;1.4022
-8.15875;112.28042;1.2615
-8.15875;112.27958;1.4199
-8.15792;112.27958;1.9378
-8.15708;112.27958;1.4666
-8.13125;112.27375;1.7368
-8.13042;112.27375;1.7425
-8.12958;112.27375;1.9852
-8.12792;112.27375;1.8906
-8.34375;112.31875;2.6972
-8.28458;112.31042;2.3871
-8.28458;112.31042;2.7845
-8.27208;112.30625;3.0487
-8.27125;112.30625;3.1992
-8.25625;112.30375;2.9231
-8.25375;112.30375;1.6178
-8.22958;112.29792;1.1673
-8.22292;112.29625;0.8437
-8.21042;112.29375;0.615
-8.20292;112.29208;2.1473
-8.16208;112.28125;1.4643
-8.16125;112.28125;1.4152
-8.16042;112.28125;1.2119
-8.15792;112.28042;1.8893
-8.13042;112.27458;2.3311
-8.12958;112.27458;1.0094
-8.12792;112.27458;2.3225
-8.12708;112.27375;1.8021
-8.12625;112.27375;1.9157
-8.28375;112.31125;3.1025
-8.27292;112.30792;3.1186
-8.24708;112.30292;2.0003
-8.23042;112.29875;1.5443
-8.22958;112.29792;1.1122
-8.22292;112.29708;1.2847
-8.20375;112.29292;2.099
-8.20292;112.29292;1.2491
-8.16125;112.28208;0.9543
-8.16042;112.28208;1.0044
-8.14875;112.27958;1.5006
-8.12792;112.27542;2.6224
-8.12708;112.27458;2.2718
-8.12625;112.27458;2.1716
-8.12542;112.27458;2.1653
-8.12542;112.27458;2.3396
-8.28375;112.31208;3.1361
-8.28292;112.31208;3.0004
-8.27792;112.30958;3.163
-8.25625;112.30625;2.4329
-8.25625;112.30542;2.4153
-8.24708;112.30375;2.3346
-8.23042;112.29958;2.1253
-8.22375;112.29792;1.182
-8.21542;112.29625;0.9354
-8.21458;112.29625;0.7172
-8.21375;112.29625;0.5437
-8.21375;112.29625;1.054
-8.20958;112.29542;0.6467
-8.20875;112.29542;0.6496
-8.20792;112.29458;1.1748
-8.20708;112.29458;1.5896
-8.20458;112.29458;1.418
-8.20375;112.29375;-0.1528
-8.20375;112.29375;1.058
-8.16292;112.28375;1.6884
-8.14958;112.28042;1.7128
-8.14875;112.28042;1.2195
-8.14625;112.27958;1.5013
-8.12792;112.27625;2.4098
-8.12708;112.27625;2.2062
-8.12625;112.27542;2.2935
-8.28375;112.31292;2.9531
-8.27792;112.30958;3.6873
-8.25708;112.30708;2.4507
-8.24708;112.30458;2.3431
-8.23042;112.30042;2.1539
-8.21542;112.29708;1.0766
-8.21208;112.29625;0.9007
-8.21125;112.29625;1.0093
-8.21042;112.29625;0.9319
-8.21042;112.29625;1.2032
-8.20958;112.29625;0.9188
-8.20875;112.29625;1.046
-8.20792;112.29625;1.2151
-8.20792;112.29542;1.1887
-8.20708;112.29542;1.1365
-8.20542;112.29542;1.4122
-8.20542;112.29542;1.3461
-8.16292;112.28458;0.6162
-8.16292;112.28458;1.101
-8.16208;112.28375;1.3943
-8.14958;112.28125;1.6021
-8.14625;112.28042;1.5587
-8.14625;112.28042;1.2175
-8.13542;112.27875;1.5452
-8.13458;112.27792;1.6665
-8.12708;112.27625;1.5359
-8.12625;112.27625;2.151
-8.29125;112.31542;2.7507
-8.28458;112.31375;2.7419
-8.26792;112.31042;3.1974
-8.26708;112.31042;3.0354
-8.26625;112.30958;2.7733
-8.26542;112.30958;2.7304
-8.24625;112.30542;1.8475
-8.23042;112.30125;3.0307
-8.22458;112.29958;0.9211
-8.22458;112.29958;0.9338
-8.21625;112.29792;0.9401
-8.21542;112.29792;0.9038
-8.21125;112.29708;0.8522
-8.21042;112.29708;0.6294
-8.20958;112.29708;1.593
-8.20958;112.29708;0.9911
-8.20875;112.29708;1.462
-8.20792;112.29708;1.1121
-8.16292;112.28542;1.398
-8.16208;112.28458;1.4687
-8.15792;112.28375;1.1112
-8.14875;112.28208;1.9365
-8.14708;112.28125;1.0992
-8.14542;112.28125;1.2893
-8.14542;112.28125;1.3162
-8.13542;112.27958;1.781
-8.13542;112.27958;2.0922
-8.12542;112.27708;2.3183
-8.12542;112.27708;2.0821
-8.12458;112.27708;1.8494
-8.29125;112.31625;2.583
-8.29042;112.31625;2.7682
-8.27708;112.31208;3.0971
-8.26708;112.31125;3.2156
-8.25792;112.30875;2.7132
-8.24625;112.30542;2.3642
-8.22458;112.30042;0.778
-8.22375;112.30042;0.901
-8.21792;112.29958;0.9702
-8.21708;112.29958;0.6114
-8.21625;112.29875;0.8811
-8.21625;112.29875;0.8063
-8.21125;112.29792;-0.3355
-8.21042;112.29792;1.4095
-8.20708;112.29708;1.39
-8.16375;112.28625;1.5379
-8.16375;112.28625;1.4767
-8.16292;112.28625;1.5924
-8.16208;112.28542;1.3068
-8.15792;112.28458;0.7371
-8.14792;112.28292;1.6225
-8.14625;112.28208;1.4426
-8.14542;112.28208;1.4915
-8.14458;112.28208;1.2718
-8.14458;112.28208;1.3331
-8.13625;112.28042;1.8339
-8.13542;112.28042;1.6989
-8.12542;112.27792;2.4525
-8.12458;112.27792;2.0429
-8.12375;112.27792;1.982
-8.26792;112.31208;3.5173
-8.26708;112.31208;2.6766
-8.23208;112.30292;1.1672
-8.23125;112.30292;1.9933
-8.23042;112.30292;1.5974
-8.22458;112.30125;1.2883
-8.21792;112.30042;0.7782
-8.21792;112.30042;0.8262
-8.21208;112.29875;1.0973
-8.21125;112.29875;0.3475
-8.21042;112.29875;0.9672
-8.21042;112.29875;1.0985
-8.16458;112.28708;1.5811
-8.15792;112.28542;1.1343
-8.15542;112.28542;1.4193
-8.14625;112.28292;1.3973
-8.14625;112.28292;1.4829
-8.14542;112.28292;1.543
-8.14375;112.28292;1.7787
-8.13625;112.28125;1.1915
-8.13625;112.28125;1.6621
-8.13542;112.28125;1.7647
-8.12375;112.27875;1.7996
-8.28875;112.31708;2.5387
-8.28792;112.31708;2.8379
-8.27042;112.31292;3.1877
-8.27042;112.31292;3.2649
-8.26875;112.31292;3.2708
-8.26792;112.31292;3.0121
-8.26792;112.31292;3.4092
-8.26542;112.31208;3.0668
-8.26458;112.31208;2.7331
-8.26375;112.31125;2.8018
-8.25708;112.31042;1.7359
-8.23125;112.30375;1.644
-8.21792;112.30125;1.0735
-8.16625;112.28875;1.8504
-8.16542;112.28792;1.9097
-8.16542;112.28792;1.7828
-8.16458;112.28792;1.6338
-8.15542;112.28625;1.5193
-8.14542;112.28375;0.709
-8.14375;112.28375;1.5704
-8.14292;112.28375;1.6749
-8.13625;112.28208;1.7201
-8.13542;112.28208;1.6986
-8.12792;112.28042;2.1284
-8.12708;112.28042;1.5394
-8.28708;112.31792;3.0198
-8.28292;112.31708;2.7531
-8.27708;112.31458;3.3134
-8.26958;112.31375;3.1274
-8.26958;112.31375;2.6969
-8.26708;112.31375;3.3473
-8.26625;112.31292;3.0581
-8.26542;112.31292;2.8269
-8.25708;112.31125;1.4171
-8.24875;112.30875;2.6617
-8.23125;112.30458;1.5706
-8.22875;112.30375;1.4991
-8.22042;112.30208;1.1166
-8.21958;112.30208;1.5691
-8.21458;112.30125;0.017
-8.21458;112.30125;0.7573
-8.21292;112.30125;1.5647
-8.21208;112.30042;1.0858
-8.16542;112.28875;1.5927
-8.16458;112.28875;1.7634
-8.16458;112.28875;1.6472
-8.15708;112.28708;1.4808
-8.15708;112.28708;1.4496
-8.15625;112.28708;1.5322
-8.14458;112.28458;1.7894
-8.14375;112.28458;1.8037
-8.14292;112.28458;1.538
-8.14208;112.28375;1.6224
-8.13042;112.28125;2.1409
-8.13042;112.28125;2.3339
-8.12958;112.28125;2.2458
-8.12875;112.28125;2.2342
-8.12792;112.28125;2.204
-8.12792;112.28125;2.2813
-8.12708;112.28125;2.6157
-8.28708;112.31875;3.455
-8.28625;112.31875;2.7375
-8.28292;112.31792;2.5569
-8.27708;112.31542;3.3175
-8.27708;112.31542;2.7142
-8.26292;112.31292;2.868
-8.25708;112.31208;2.8988
-8.25125;112.31042;2.0166
-8.25042;112.31042;2.218
-8.24958;112.30958;1.4677
-8.24958;112.30958;2.0507
-8.24625;112.30875;2.0775
-8.23125;112.30542;1.7831
-8.22042;112.30292;1.5511
-8.21542;112.30208;0.6973
-8.21458;112.30208;1.1595
-8.21375;112.30208;1.0432
-8.21375;112.30208;0.8852
-8.21292;112.30208;1.2199
-8.15625;112.28792;0.7863
-8.15625;112.28792;1.6016
-8.14542;112.28542;1.0454
-8.14458;112.28542;2.0441
-8.14292;112.28542;2.6087
-8.14208;112.28458;2.0523
-8.14208;112.28458;1.5601
-8.13458;112.28292;1.698
-8.12958;112.28208;1.9762
-8.12958;112.28208;2.1171
-8.12875;112.28208;2.0746
-8.12792;112.28208;2.4343
-8.12708;112.28208;2.4866
-8.12708;112.28208;2.133
-8.12625;112.28125;2.4541
-8.12542;112.28125;2.3826
-8.28292;112.31875;2.5544
-8.28125;112.31875;2.7728
-8.27708;112.31625;3.0438
-8.26542;112.31458;3.018
-8.25708;112.31292;2.711
-8.23042;112.30625;1.437
-8.22208;112.30458;1.1846
-8.22125;112.30375;1.2328
-8.21375;112.30292;1.1331
-8.21292;112.30292;0.8179
-8.21292;112.30208;0.9272
-8.15792;112.28958;2.2096
-8.14625;112.28625;1.6803
-8.14625;112.28625;1.7161
-8.14458;112.28625;1.9929
-8.14292;112.28625;1.7111
-8.14125;112.28542;2.1099
-8.14125;112.28542;1.6934
-8.14042;112.28542;1.6506
-8.12875;112.28292;1.9206
-8.12875;112.28292;2.3085
-8.12792;112.28292;2.1879
-8.12708;112.28292;2.1813
-8.12625;112.28208;2.2862
-8.12542;112.28208;2.3734
-8.12458;112.28208;2.1183
-8.28542;112.32042;2.9955
-8.27708;112.31708;2.751
-8.26542;112.31542;3.2636
-8.26458;112.31542;2.8006
-8.26458;112.31542;2.7384
-8.25708;112.31375;3.2452
-8.25708;112.31375;2.8525
-8.24292;112.30958;2.1574
-8.22375;112.30542;1.3005
-8.22292;112.30542;1.3933
-8.22208;112.30542;1.0407
-8.22208;112.30542;1.0529
-8.21375;112.30375;0.6949
-8.21292;112.30375;0.8384
-8.16208;112.29042;1.8031
-8.15792;112.29042;2.1782
-8.15708;112.28958;2.198
-8.15625;112.28958;0.7248
-8.15542;112.28958;1.0381
-8.14542;112.28708;1.9062
-8.14458;112.28708;1.879
-8.14375;112.28708;1.8022
-8.14292;112.28708;1.8919
-8.14292;112.28708;1.3885
-8.14125;112.28625;1.8024
-8.14042;112.28625;1.5562
-8.14042;112.28625;1.4348
-8.13042;112.28458;2.1868
-8.13042;112.28375;2.1936
-8.12875;112.28375;1.5665
-8.12792;112.28375;2.1596
-8.12792;112.28375;1.9971
-8.12708;112.28375;1.26
-8.12458;112.28292;2.5015
-8.12375;112.28292;1.9305
-8.12292;112.28292;2.3168
-8.12292;112.28292;2.2202
-8.28542;112.32125;2.7767
-8.27708;112.31792;2.7457
-8.27125;112.31792;2.9316
-8.27042;112.31708;3.0919
-8.26792;112.31708;2.7496
-8.26542;112.31625;3.037
-8.25708;112.31458;3.0933
-8.25708;112.31458;2.9062
-8.25208;112.31292;0.8594
-8.23125;112.30792;1.4841
-8.22292;112.30625;1.2335
-8.21375;112.30458;0.7128
-8.16292;112.29208;1.9111
-8.16125;112.29125;1.4959
-8.16125;112.29125;0.4586
-8.14458;112.28792;1.6816
-8.14458;112.28792;1.8902
-8.14375;112.28792;1.5146
-8.14292;112.28792;1.4643
-8.14208;112.28792;1.5641
-8.14208;112.28708;1.9023
-8.14125;112.28708;1.8119
-8.14042;112.28708;1.7233
-8.12958;112.28458;2.2167
-8.12708;112.28458;2.1243
-8.27042;112.31875;2.8692
-8.26792;112.31792;3.4801
-8.25708;112.31542;2.7898
-8.25625;112.31542;2.6734
-8.25292;112.31458;2.0558
-8.25208;112.31375;2.0554
-8.24625;112.31208;1.7179
-8.23542;112.30958;1.8135
-8.23125;112.30875;1.6422
-8.22458;112.30708;1.4063
-8.22375;112.30708;1.3561
-8.22375;112.30708;1.038
-8.16625;112.29375;1.8903
-8.16208;112.29292;1.36
-8.14542;112.28875;1.6373
-8.14375;112.28875;1.8856
-8.14375;112.28875;1.7514
-8.14292;112.28875;1.5535
-8.14125;112.28792;1.4438
-8.14125;112.28792;1.4851
-8.14042;112.28792;2.0923
-8.13125;112.28625;2.1458
-8.13125;112.28625;2.4201
-8.12958;112.28542;2.3322
-8.12875;112.28542;2.1293
-8.12875;112.28542;2.0698
-8.12792;112.28542;2.1651
-8.12708;112.28542;1.9756
-8.12625;112.28542;2.0913
-8.12625;112.28458;2.032
-8.28208;112.32208;2.6978
-8.27125;112.31958;3.3945
-8.27042;112.31958;3.2833
-8.26958;112.31958;3.2343
-8.26958;112.31875;3.2168
-8.26792;112.31875;3.31
-8.26125;112.31708;2.9285
-8.22542;112.30792;1.715
-8.22542;112.30792;1.9107
-8.22458;112.30792;1.6097
-8.16625;112.29458;2.1632
-8.15958;112.29292;1.7774
-8.14625;112.29042;1.6786
-8.14542;112.28958;1.6544
-8.14375;112.28958;1.8849
-8.14292;112.28958;1.7089
-8.14292;112.28958;1.7089
-8.14208;112.28958;1.7604
-8.14125;112.28875;1.6723
-8.13375;112.28708;1.9875
-8.13292;112.28708;2.1275
-8.13292;112.28708;2.0696
-8.13208;112.28708;2.506
-8.13125;112.28708;1.9428
-8.13042;112.28708;2.5908
-8.12875;112.28625;2.2541
-8.12792;112.28625;2.3253
-8.12792;112.28625;2.078
-8.12542;112.28542;1.972
-8.12542;112.28542;2.4289
-8.27958;112.32208;2.4888
-8.26958;112.31958;3.1173
-8.26792;112.31958;3.3696
-8.26708;112.31958;3.0913
-8.26375;112.31875;3.1951
-8.26125;112.31792;2.8191
-8.22458;112.30875;1.2744
-8.21292;112.30625;0.9711
-8.15958;112.29375;1.5217
-8.14625;112.29125;1.6494
-8.14542;112.29042;2.2144
-8.14458;112.29042;1.1523
-8.14375;112.29042;1.754
-8.14292;112.29042;2.1976
-8.14208;112.29042;1.7892
-8.14208;112.28958;1.8704
-8.14125;112.28958;1.7257
-8.13708;112.28875;1.8516
-8.13708;112.28875;2.018
-8.13292;112.28792;1.7843
-8.13208;112.28792;2.1738
-8.13208;112.28792;1.995
-8.13125;112.28792;2.2359
-8.13042;112.28792;2.2209
-8.12875;112.28708;2.1619
-8.12792;112.28708;2.2065
-8.12708;112.28708;2.0175
-8.12708;112.28708;2.4624
-8.12625;112.28708;2.5254
-8.12542;112.28625;2.2345
-8.12542;112.28625;2.0155
-8.12458;112.28625;2.1404
-8.28208;112.32375;2.6211
-8.27292;112.32125;3.377
-8.26875;112.32042;3.1276
-8.26875;112.32042;3.3243
-8.26792;112.32042;3.1785
-8.26708;112.32042;3.4842
-8.26208;112.31958;2.9868
-8.26125;112.31875;2.7957
-8.23458;112.31208;2.3478
-8.21292;112.30708;1.0568
-8.21208;112.30708;0.9708
-8.18625;112.30042;2.1306
-8.18542;112.30042;2.2414
-8.18542;112.30042;1.9883
-8.16042;112.29458;1.9297
-8.15792;112.29458;1.7323
-8.15708;112.29375;1.9649
-8.15625;112.29375;1.7847
-8.15042;112.29292;1.3066
-8.14708;112.29208;1.5111
-8.14625;112.29208;1.8721
-8.14625;112.29125;1.8538
-8.14458;112.29125;2.1925
-8.14375;112.29125;1.8493
-8.14208;112.29125;1.4373
-8.14125;112.29042;1.7552
-8.13625;112.28958;2.2001
-8.13625;112.28958;2.086
-8.13125;112.28875;2.1593
-8.13042;112.28875;2.3215
-8.12958;112.28792;2.0962
-8.12958;112.28792;2.2194
-8.12708;112.28792;2.0353
-8.12708;112.28792;1.7395
-8.12625;112.28792;1.8831
-8.12458;112.28708;1.8101
-8.28125;112.32458;2.8328
-8.27625;112.32292;2.9399
-8.27542;112.32292;3.1016
-8.27458;112.32292;2.8949
-8.27375;112.32292;3.4037
-8.26958;112.32208;3.4536
-8.26875;112.32125;3.1219
-8.26792;112.32125;3.0814
-8.26708;112.32125;3.0031
-8.26625;112.32125;2.7707
-8.26458;112.32042;3.1853
-8.26208;112.32042;3.0951
-8.26125;112.32042;3.0984
-8.26042;112.31958;2.7106
-8.25625;112.31875;2.6573
-8.23708;112.31292;2.2813
-8.22542;112.31042;1.5478
-8.22542;112.31042;1.4394
-8.22458;112.31042;1.2953
-8.18625;112.30125;1.9996
-8.18542;112.30125;2.4935
-8.16042;112.29542;1.6369
-8.16042;112.29542;1.6563
-8.15958;112.29542;1.432
-8.15875;112.29542;1.6332
-8.15792;112.29542;1.5859
-8.15792;112.29542;1.6008
-8.15708;112.29458;1.8107
-8.14708;112.29292;1.543
-8.14375;112.29208;1.7215
-8.14375;112.29208;1.7757
-8.14125;112.29125;1.7044
-8.13625;112.29042;1.425
-8.13542;112.29042;1.85
-8.13125;112.28958;2.3558
-8.13125;112.28958;2.1527
-8.13042;112.28958;2.4675
-8.12958;112.28875;1.9863
-8.12875;112.28875;2.3589
-8.12625;112.28875;1.9435
-8.12625;112.28875;1.936
-8.12542;112.28792;1.9618
-8.12458;112.28792;1.9321
-8.12375;112.28792;2.1519
-8.12375;112.28792;1.8669
-8.29375;112.32792;2.2419
-8.29375;112.32792;2.0531
-8.28125;112.32542;2.6088
-8.27375;112.32375;2.513
-8.27125;112.32292;2.9958
-8.27042;112.32292;3.869
-8.26875;112.32208;3.4507
-8.26792;112.32208;3.6492
-8.26208;112.32125;2.5547
-8.26208;112.32125;3.0652
-8.26042;112.32042;2.7834
