Lat;Lon;LOS_DES
-8.28708;112.30625;-3.0045
-8.28375;112.30542;-2.7093
-8.28375;112.30542;-2.7093
-8.27792;112.30208;-4.3201
-8.27792;112.30208;-4.3201
-8.27708;112.30208;-4.1998
-8.23958;112.29458;-1.7312
-8.23208;112.29292;-1.7531
-8.23125;112.29292;-1.9526
-8.23125;112.29292;-1.9526
-8.19708;112.28542;-1.1934
-8.19458;112.28458;-1.4111
-8.19375;112.28458;-0.5609
-8.15208;112.27458;-0.5645
-8.15208;112.27375;-1.7614
-8.14458;112.27292;-0.5856
-8.14458;112.27292;-0.5856
-8.13125;112.26958;-0.9665
-8.12875;112.26958;-0.4139
-8.12792;112.26958;-0.9865
-8.12792;112.26875;-0.9262
-8.12542;112.26875;-0.8422
-8.28792;112.30708;-2.8558
-8.28792;112.30708;-2.8558
-8.28375;112.30625;-2.7174
-8.25625;112.29958;-1.9324
-8.25458;112.29958;-1.4463
-8.23125;112.29375;-1.2431
-8.23125;112.29375;-1.2431
-8.15292;112.27542;-0.7376
-8.15208;112.27458;-0.5645
-8.14708;112.27375;-0.7208
-8.14542;112.27375;-0.6382
-8.14208;112.27292;-0.0364
-8.12958;112.27042;-1.7084
-8.12708;112.26958;-0.5986
-8.12625;112.26958;-0.9877
-8.28708;112.30792;-2.5102
-8.27125;112.30292;-1.6678
-8.25625;112.30042;-1.4488
-8.25375;112.29958;-2.304
-8.25292;112.29958;-2.3412
-8.25208;112.29958;-2.321
-8.23125;112.29458;-1.049
-8.23042;112.29458;-1.6649
-8.15375;112.27625;-0.7355
-8.15292;112.27625;-0.9361
-8.14708;112.27458;-0.7733
-8.14625;112.27458;-0.8215
-8.14625;112.27458;-0.8215
-8.14375;112.27458;-0.3925
-8.13042;112.27125;-0.8753
-8.12958;112.27125;-0.8051
-8.25625;112.30125;-1.3044
-8.25208;112.30042;-2.6278
-8.25042;112.30042;-1.6046
-8.19958;112.28875;-1.4701
-8.19875;112.28875;-1.2998
-8.19792;112.28875;-1.3117
-8.15542;112.27792;-0.6384
-8.14292;112.27458;-1.3015
-8.14292;112.27458;-1.3015
-8.13208;112.27292;-0.6091
-8.13125;112.27208;-0.8594
-8.13042;112.27208;-0.737
-8.13042;112.27208;-0.737
-8.12958;112.27208;-0.2627
-8.28458;112.30875;-2.094
-8.25708;112.30208;-1.7006
-8.24958;112.30042;-1.4766
-8.24875;112.30042;-1.6245
-8.24792;112.30042;-1.8268
-8.24792;112.30042;-1.8268
-8.23125;112.29625;-1.3529
-8.22125;112.29458;-1.9239
-8.22042;112.29375;-1.6028
-8.20125;112.28958;-3.6732
-8.20042;112.28958;-1.6816
-8.19958;112.28958;-1.2723
-8.19958;112.28958;-1.2723
-8.19875;112.28958;-0.8934
-8.19792;112.28958;-1.3561
-8.19708;112.28875;-0.5877
-8.19708;112.28875;-0.5877
-8.15958;112.27958;-0.8143
-8.15875;112.27875;-0.871
-8.15792;112.27875;-0.7965
-8.15708;112.27875;-0.4136
-8.15708;112.27875;-0.4136
-8.15625;112.27875;-0.5053
-8.14625;112.27625;-0.8032
-8.14458;112.27625;-0.5992
-8.14458;112.27625;-0.5992
-8.14375;112.27542;-1.2229
-8.13125;112.27292;-0.8429
-8.13042;112.27292;-0.9438
-8.12958;112.27292;-0.74
-8.12958;112.27292;-0.74
-8.12875;112.27292;-0.5229
-8.28542;112.30958;-1.5783
-8.27292;112.30542;-1.7078
