Lat;Lon;alfa
-8.28708;112.30625;-167.9876
-8.28375;112.30542;-167.9876
-8.28375;112.30542;-167.9876
-8.27792;112.30208;-167.9876
-8.27792;112.30208;-167.9876
-8.27708;112.30208;-167.9876
-8.23958;112.29458;-167.9876
-8.23208;112.29292;-167.9876
-8.23125;112.29292;-167.9876
-8.23125;112.29292;-167.9876
-8.19708;112.28542;-167.9876
-8.19458;112.28458;-167.9876
-8.19375;112.28458;-167.9876
-8.15208;112.27458;-167.9876
-8.15208;112.27375;-167.9876
-8.14458;112.27292;-167.9876
-8.14458;112.27292;-167.9876
-8.13125;112.26958;-167.9876
-8.12875;112.26958;-167.9876
-8.12792;112.26958;-167.9876
-8.12792;112.26875;-167.9876
-8.12542;112.26875;-167.9876
-8.28792;112.30708;-167.9876
-8.28792;112.30708;-167.9876
-8.28375;112.30625;-167.9876
-8.25625;112.29958;-167.9876
-8.25458;112.29958;-167.9876
-8.23125;112.29375;-167.9876
-8.23125;112.29375;-167.9876
-8.15292;112.27542;-167.9876
-8.15208;112.27458;-167.9876
-8.14708;112.27375;-167.9876
-8.14542;112.27375;-167.9876
-8.14208;112.27292;-167.9876
-8.12958;112.27042;-167.9876
-8.12708;112.26958;-167.9876
-8.12625;112.26958;-167.9876
-8.28708;112.30792;-167.9876
-8.27125;112.30292;-167.9876
-8.25625;112.30042;-167.9876
-8.25375;112.29958;-167.9876
-8.25292;112.29958;-167.9876
-8.25208;112.29958;-167.9876
-8.23125;112.29458;-167.9876
-8.23042;112.29458;-167.9876
-8.15375;112.27625;-167.9876
-8.15292;112.27625;-167.9876
-8.14708;112.27458;-167.9876
-8.14625;112.27458;-167.9876
-8.14625;112.27458;-167.9876
-8.14375;112.27458;-167.9876
-8.13042;112.27125;-167.9876
-8.12958;112.27125;-167.9876
-8.25625;112.30125;-167.9876
-8.25208;112.30042;-167.9876
-8.25042;112.30042;-167.9876
-8.19958;112.28875;-167.9876
-8.19875;112.28875;-167.9876
-8.19792;112.28875;-167.9876
-8.15542;112.27792;-167.9876
-8.14292;112.27458;-167.9876
-8.14292;112.27458;-167.9876
-8.13208;112.27292;-167.9876
-8.13125;112.27208;-167.9876
-8.13042;112.27208;-167.9876
-8.13042;112.27208;-167.9876
-8.12958;112.27208;-167.9876
-8.28458;112.30875;-167.9876
-8.25708;112.30208;-167.9876
-8.24958;112.30042;-167.9876
-8.24875;112.30042;-167.9876
-8.24792;112.30042;-167.9876
-8.24792;112.30042;-167.9876
-8.23125;112.29625;-167.9876
-8.22125;112.29458;-167.9876
-8.22042;112.29375;-167.9876
-8.20125;112.28958;-167.9876
-8.20042;112.28958;-167.9876
-8.19958;112.28958;-167.9876
-8.19958;112.28958;-167.9876
-8.19875;112.28958;-167.9876
-8.19792;112.28958;-167.9876
-8.19708;112.28875;-167.9876
-8.19708;112.28875;-167.9876
-8.15958;112.27958;-167.9876
-8.15875;112.27875;-167.9876
-8.15792;112.27875;-167.9876
-8.15708;112.27875;-167.9876
-8.15708;112.27875;-167.9876
-8.15625;112.27875;-167.9876
-8.14625;112.27625;-167.9876
-8.14458;112.27625;-167.9876
-8.14458;112.27625;-167.9876
-8.14375;112.27542;-167.9876
-8.13125;112.27292;-167.9876
-8.13042;112.27292;-167.9876
-8.12958;112.27292;-167.9876
-8.12958;112.27292;-167.9876
-8.12875;112.27292;-167.9876
-8.28542;112.30958;-167.9876
