Lat;Lon;θ
-8.28708;112.30625;30.68754959
-8.28375;112.30542;30.68945694
-8.28375;112.30542;30.68945694
-8.27792;112.30208;30.68663025
-8.27792;112.30208;30.68663025
-8.27708;112.30208;30.68938446
-8.23958;112.29458;30.69093323
-8.23208;112.29292;30.69161224
-8.23125;112.29292;30.69285393
-8.23125;112.29292;30.69285393
-8.19708;112.28542;30.69530869
-8.19458;112.28458;30.69309044
-8.19375;112.28458;30.69487953
-8.15208;112.27458;30.7029705
-8.15208;112.27375;30.6966629
-8.14458;112.27292;30.70320892
-8.14458;112.27292;30.70320892
-8.13125;112.26958;30.70067978
-8.12875;112.26958;30.70481682
-8.12792;112.26958;30.70643234
-8.12792;112.26875;30.70012856
-8.12542;112.26875;30.7044735
-8.28792;112.30708;30.69255638
-8.28792;112.30708;30.69255638
-8.28375;112.30625;30.69650269
-8.25625;112.29958;30.69692421
-8.25458;112.29958;30.70048523
-8.23125;112.29375;30.69948578
-8.23125;112.29375;30.69948578
-8.15292;112.27542;30.70786095
-8.15208;112.27458;30.7029705
-8.14708;112.27375;30.70573807
-8.14542;112.27375;30.7084465
-8.14208;112.27292;30.70803452
-8.12958;112.27042;30.71057129
-8.12708;112.26958;30.70775986
-8.12625;112.26958;30.70902252
-8.28708;112.30792;30.70025063
-8.27125;112.30292;30.70189285
-8.25625;112.30042;30.7024765
-8.25375;112.29958;30.70154762
-8.25292;112.29958;30.70297241
-8.25208;112.29958;30.70524979
-8.23125;112.29458;30.70636177
-8.23042;112.29458;30.70798111
-8.15375;112.27625;30.71260643
-8.15292;112.27625;30.71423721
-8.14708;112.27458;30.71177292
-8.14625;112.27458;30.71308517
-8.14625;112.27458;30.71308517
-8.14375;112.27458;30.71767044
-8.13042;112.27125;30.71479988
-8.12958;112.27125;30.71645737
-8.25625;112.30125;30.70830917
-8.25208;112.30042;30.71050453
-8.25042;112.30042;30.7132225
-8.19958;112.28875;30.71585846
-8.19875;112.28875;30.71714783
-8.19792;112.28875;30.71848679
-8.15542;112.27792;30.72388077
-8.14292;112.27458;30.71899414
-8.14292;112.27458;30.71899414
-8.13208;112.27292;30.72500038
-8.13125;112.27208;30.71954918
-8.13042;112.27208;30.72118568
-8.13042;112.27208;30.72118568
-8.12958;112.27208;30.72258759
-8.28458;112.30875;30.71105194
-8.25708;112.30208;30.71318436
-8.24958;112.30042;30.71373367
-8.24875;112.30042;30.71466064
-8.24792;112.30042;30.71640396
-8.24792;112.30042;30.71640396
-8.23125;112.29625;30.72007942
-8.22125;112.29458;30.72262764
-8.22042;112.29375;30.71802139
-8.20125;112.28958;30.71870041
-8.20042;112.28958;30.72029114
-8.19958;112.28958;30.72164536
-8.19958;112.28958;30.72164536
-8.19875;112.28958;30.72306252
-8.19792;112.28958;30.72476196
-8.19708;112.28875;30.72014999
-8.19708;112.28875;30.72014999
-8.15958;112.27958;30.72897339
-8.15875;112.27875;30.72406006
-8.15792;112.27875;30.72537804
-8.15708;112.27875;30.72679901
-8.15708;112.27875;30.72679901
-8.15625;112.27875;30.72867203
-8.14625;112.27625;30.72588158
-8.14458;112.27625;30.7290535
-8.14458;112.27625;30.7290535
-8.14375;112.27542;30.72390747
-8.13125;112.27292;30.72622108
-8.13042;112.27292;30.72740555
-8.12958;112.27292;30.72891808
-8.12958;112.27292;30.72891808
-8.12875;112.27292;30.73038101
-8.28542;112.30958;30.71608925
-8.27292;112.30542;30.71924782
-8.26958;112.30625;30.72341156
-8.23042;112.29708;30.72681618
-8.23042;112.29708;30.72681618
-8.22125;112.29542;30.72919846
-8.21208;112.29292;30.72522926
-8.21125;112.29292;30.72675896
-8.21042;112.29292;30.72841454
-8.20208;112.29125;30.73158264
-8.20125;112.29042;30.72465897
-8.20042;112.29042;30.72657204
-8.19958;112.29042;30.72797585
-8.19875;112.29042;30.72966766
-8.19875;112.29042;30.72966766
-8.19792;112.29042;30.73118782
-8.19708;112.28958;30.72650337
-8.16125;112.28042;30.73189354
-8.16042;112.28042;30.733675
-8.15875;112.28042;30.73666191
-8.15875;112.27958;30.7303772
-8.15792;112.27958;30.73196602
-8.15708;112.27958;30.73312378
-8.13125;112.27375;30.73270988
-8.13042;112.27375;30.73405266
-8.12958;112.27375;30.7352562
-8.12792;112.27375;30.73827362
-8.34375;112.31875;30.71583748
-8.28458;112.31042;30.72315788
-8.28458;112.31042;30.72315788
-8.27208;112.30625;30.72476196
-8.27125;112.30625;30.72482491
-8.25625;112.30375;30.72620964
-8.25375;112.30375;30.73106766
-8.22958;112.29792;30.73384094
