Lat;Lon;θ
-8.28708;112.30625;37.48373032
-8.28375;112.30542;37.49672318
-8.28375;112.30542;37.49672318
-8.27792;112.30208;37.53613663
-8.27792;112.30208;37.53613663
-8.27708;112.30208;37.53827286
-8.23958;112.29458;37.63948441
-8.23208;112.29292;37.66197586
-8.23125;112.29292;37.66313553
-8.23125;112.29292;37.66313553
-8.19708;112.28542;37.76663971
-8.19458;112.28458;37.77573776
-8.19375;112.28458;37.77726746
-8.15208;112.27458;37.91552353
-8.15208;112.27375;37.92086411
-8.14458;112.27292;37.93770218
-8.14458;112.27292;37.93770218
-8.13125;112.26958;37.97914124
-8.12875;112.26958;37.98307419
-8.12792;112.26958;37.98448181
-8.12792;112.26875;37.98984528
-8.12542;112.26875;37.99365234
-8.28792;112.30708;37.47721863
-8.28792;112.30708;37.47721863
-8.28375;112.30625;37.49088669
-8.25625;112.29958;37.57961655
-8.25458;112.29958;37.5824852
-8.23125;112.29375;37.65800095
-8.23125;112.29375;37.65800095
-8.15292;112.27542;37.90887833
-8.15208;112.27458;37.91552353
-8.14708;112.27375;37.92861557
-8.14542;112.27375;37.93105316
-8.14208;112.27292;37.94184875
-8.12958;112.27042;37.97702789
-8.12708;112.26958;37.98565292
-8.12625;112.26958;37.98682404
-8.28708;112.30792;37.4730835
-8.27125;112.30292;37.53919983
-8.25625;112.30042;37.57374573
-8.25375;112.29958;37.58364868
-8.25292;112.29958;37.58491135
-8.25208;112.29958;37.58671188
-8.23125;112.29458;37.6529541
-8.23042;112.29458;37.65439606
-8.15375;112.27625;37.90215683
-8.15292;112.27625;37.90351868
-8.14708;112.27458;37.92309189
-8.14625;112.27458;37.92417145
-8.14625;112.27458;37.92417145
-8.14375;112.27458;37.92846298
-8.13042;112.27125;37.96994019
-8.12958;112.27125;37.97138596
-8.25625;112.30125;37.56809235
-8.25208;112.30042;37.5806694
-8.25042;112.30042;37.58308029
-8.19958;112.28875;37.74100113
-8.19875;112.28875;37.74220657
-8.19792;112.28875;37.74343109
-8.15542;112.27792;37.88896561
-8.14292;112.27458;37.92966843
-8.14292;112.27458;37.92966843
-8.13208;112.27292;37.95669556
-8.13125;112.27208;37.9629631
-8.13042;112.27208;37.96459961
-8.13042;112.27208;37.96459961
-8.12958;112.27208;37.96584702
-8.28458;112.30875;37.47162247
-8.25708;112.30208;37.56147766
-8.24958;112.30042;37.58373642
-8.24875;112.30042;37.58468628
-8.24792;112.30042;37.58617401
-8.24792;112.30042;37.58617401
-8.23125;112.29625;37.64294052
-8.22125;112.29458;37.66780853
-8.22042;112.29375;37.67460632
-8.20125;112.28958;37.73243332
-8.20042;112.28958;37.73382187
-8.19958;112.28958;37.73530197
-8.19958;112.28958;37.73530197
-8.19875;112.28958;37.73659515
-8.19792;112.28958;37.73806
-8.19708;112.28875;37.74487686
-8.19708;112.28875;37.74487686
-8.15958;112.27958;37.87028885
-8.15875;112.27875;37.87687683
-8.15792;112.27875;37.87836075
-8.15708;112.27875;37.87965393
-8.15708;112.27875;37.87965393
-8.15625;112.27875;37.88124466
-8.14625;112.27625;37.91362762
-8.14458;112.27625;37.91658401
-8.14458;112.27625;37.91658401
-8.14375;112.27542;37.92304993
-8.13125;112.27292;37.95785904
-8.13042;112.27292;37.95914841
-8.12958;112.27292;37.96046829
-8.12958;112.27292;37.96046829
-8.12875;112.27292;37.96175766
-8.28542;112.30958;37.46511078
-8.27292;112.30542;37.52074814
-8.26958;112.30625;37.5140152
-8.23042;112.29708;37.63819885
-8.23042;112.29708;37.63819885
-8.22125;112.29542;37.6626358
-8.21208;112.29292;37.69245148
-8.21125;112.29292;37.69380569
-8.21042;112.29292;37.69524384
-8.20208;112.29125;37.72058868
-8.20125;112.29042;37.72678757
-8.20042;112.29042;37.72841644
-8.19958;112.29042;37.72993469
-8.19875;112.29042;37.73141479
-8.19875;112.29042;37.73141479
-8.19792;112.29042;37.73277664
-8.19708;112.28958;37.73952866
-8.16125;112.28042;37.86199951
-8.16042;112.28042;37.86354828
-8.15875;112.28042;37.86620331
-8.15875;112.27958;37.87157059
-8.15792;112.27958;37.87319183
-8.15708;112.27958;37.87427521
-8.13125;112.27375;37.95259094
-8.13042;112.27375;37.95397568
-8.12958;112.27375;37.9551239
-8.12792;112.27375;37.95772552
-8.34375;112.31875;37.33732224
-8.28458;112.31042;37.46055603
-8.28458;112.31042;37.46055603
-8.27208;112.30625;37.51401138
-8.27125;112.30625;37.51433563
-8.25625;112.30375;37.55134583
-8.25375;112.30375;37.5555687
-8.22958;112.29792;37.63363647
-8.22292;112.29625;37.65497589
-8.21042;112.29375;37.68984222
-8.20292;112.29208;37.71338654
-8.16208;112.28125;37.85534286
-8.16125;112.28125;37.85690689
-8.16042;112.28125;37.85826874
-8.15792;112.28042;37.8679924
-8.13042;112.27458;37.94860458
-8.12958;112.27458;37.94974518
-8.12792;112.27458;37.95227814
-8.12708;112.27375;37.95895004
-8.12625;112.27375;37.96023178
-8.28375;112.31125;37.45650482
-8.27292;112.30792;37.50233078
-8.24708;112.30292;37.57168198
-8.23042;112.29875;37.62756729
-8.22958;112.29792;37.63363647
-8.22292;112.29708;37.65028381
-8.20375;112.29292;37.70578384
-8.20292;112.29292;37.7067337
-8.16125;112.28208;37.85160828
-8.16042;112.28208;37.85342407
-8.14875;112.27958;37.88741302
-8.12792;112.27542;37.94644547
-8.12708;112.27458;37.95341873
-8.12625;112.27458;37.95469666
-8.12542;112.27458;37.95583725
-8.12542;112.27458;37.95583725
-8.28375;112.31208;37.45132828
-8.28292;112.31208;37.45265198
-8.27792;112.30958;37.48513031
-8.25625;112.30625;37.53357697
-8.25625;112.30542;37.54046249
-8.24708;112.30375;37.56646347
-8.23042;112.29958;37.6224556
-8.22375;112.29792;37.64358139
-8.21542;112.29625;37.66638565
-8.21458;112.29625;37.667202
-8.21375;112.29625;37.66843796
-8.21375;112.29625;37.66843796
-8.20958;112.29542;37.68045425
-8.20875;112.29542;37.68153381
-8.20792;112.29458;37.68860245
-8.20708;112.29458;37.68975067
-8.20458;112.29458;37.69333267
-8.20375;112.29375;37.70016479
-8.20375;112.29375;37.70016479
-8.16292;112.28375;37.83817291
-8.14958;112.28042;37.88092041
-8.14875;112.28042;37.88186646
-8.14625;112.27958;37.89115143
-8.12792;112.27625;37.9414444
-8.12708;112.27625;37.94282913
